authors,comments
@레벤,[원신] 5.2 버전 맛있는 리딤코드~!!!  첫 번째 - 6ALMWAVKLK35 / 원석 100개 큰 광석 10개  두 번째 - 7TLMXSD243JR / 원석 100개 큰 경험치 책 5개 세 번째 - JS45ETDJLKMD / 원석 100개 5만 모라
@tv-bd6sz,한번도 복각 못 한 캐릭도 있는데 리니 느비는 두번째 복각인게 말이 됨?
@Sehe-c8k,후반 라인업 여러의미로 참..웅장하네
@스즈메의문과단속,"신캐 정리   차스카:바람 온 필드 딜러  방랑자처럼 하늘을 날 수 있음.  실로닌처럼 원소 추출기처럼 아군 캐릭터의 속성이 담김. 예를 들어 조합이 차스카, 불2, 물 1이면 차스카의 원소전투 스킬에 불과 물이 포함됨. 이걸로 확산 이외 반응도 가능한 지는 의문이고 실로닌처럼 바람(얘는 기본), 바위나 풀 속성은 포함 되지 않을 확률이 높음. 차스카의 궁은 원소 전투 스킬의 강화 버전, 한 번이 폭딜 넣는 메커니즘  올로룬:감전 반응 오프 필드 딜러(감전 버프 먹은 이유가 이거인듯) 이동기는 카즈하 상위 호환 물, 번개 공격 혹은 밤혼 발산 사용 시 밤혼 게이지 얻음.  감전 반응 or 밤혼 성질 데미지 추가 시 올로룬 밤혼 가호 상태 진입 밤혼 가호 사용 시, 추가 딜  궁:장판 딜, 하늘 높이 올라간다음 활을 차지해 공중에 고정 가능, 어그로 가능"
@user-dabikyeo0000,용들의 나라라 그런거 후반부가 ㅋㅋㅋㅌㅋㅋ
@고길동1,5:57 깃룡에 올라타려면 뛰어난 활쏘기 실력을 보여준다니… 토루크막토가 생각나는군요…
@BeakSion,이젠 ㄹㅇ 얼음속성 캐들은 다 군대 갔다 생각하고(물론 중간에 시틀라리가  있긴 하지만) 스네즈나야 시즌때 전역한다 생각해야 맘 편할듯
@Lvpvs_Tenebris,"라슬은 다음 버전에 마비카(불부착+공버프) 와 함께 떡상/복각하므로 너무 걱정 마시길 바랍니다. ft. 키니치, 6돌 아야토"
@오오-d9d,"쉬어가는 버전 치고 엄청 알찬데?, 이게 폐사면 4.3 등등은 어케 버텼냐"
@가인-f3t,라슬 언제 오니?????나는 너만 기다리고 있단다.....제발...제발....빨리 나와주지 않으련????????
@Cherry_Nyang25,공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔 공작님 내놔
@화톳불-f2i,느비 전무 명함이라도 뽑을랬는데 돌겠네 진짴ㅋㅋㅋ
@지모노-i2x,아쎄이! 네가 선택한 얼음 원소다! 악으로 깡으로 버텨라!
@초코모자-h1p,아니 시틀라리 짱예쁘네 ㅁㅊ
@로-b8z,후반에 느비종려중 하나만 나올줄 알았던원붕은 개추
@necokage1973,25:05 원하하하하! 젠장 이 픽업은 뭐냐!!
@Harry_potter0731,뭐? 무기 천장 정상화? 어림도 없지 바아로 그냥 관홍의 창으로 재 정상화
@worcess1504,용의 나라라고 용들을 복각시키면 어쩌잔게냐
@쮸-s1f,으하하하 이럴줄알고 느비&종려 둘다 뽑을준비를 끝냈다!!!!
@기묘한서기관,차스카  탄창 타는거 넘좋다 그냥 비행기타는 시스템같네 ㅋㅋㅋ 뭔가 방랑자 또다른버전같네요 비행타입이네요  샷건ㅋㅋㅋ
@이정인-y7d,12:35  차스카 화장까지도 정상화...?
@dydtkduddnd12,처음으로 댓글 올릴게요! 올로룬 이랑 시틀라리 같이 나오는게 아니였네요....! 그리고 15:11 저 용? 먼가 박쥐 처럼 생겼어요!
@RiceCakeHunter,또또또 출시가 미뤄진 신학 복각이었습니다.
@오딘-t5l,새를 만든다 용이라고 부른다 용이다
@하르하르-r7p,으아아아아아아아아아아아아아 신학이랑 코코미 내놓으라고 이이이이이이이잉이
@로로-j3c,삼중 베너 해라 진짜
@ソヨン-g4l,현재 활캐릭이 엔버 뿐이고 이나즈마 기믹을 푸는데 차스카 보다는 번개활캐인 올로룬을 원하고 후반 종려 명함을 얻고나서 5.3인 마비카를 얻을려고 하는데 전반에는 4성 픽업캐에 있지만 후반은 안 보여서 만약 없다면 4성 얻을려고 지르는건 아닌거 같은데 있을지 의문이네요.
@shu._shu,할 게 많은데 할 게 없네……
@구힘찬,"3:32 아기 깃룡, 25:36 아기 명룡 귀여워 "
@Water-wt,신학 붕괴 없을 땐가? 그때 1번 나오고 지금까지 복각 안하는거 실화야?!!! 호요버스!!! 신학 좀 복각 시켜!!!! 나 아직도 신학이 없어ㅠㅜ!!! 스킨은 있는데 신학이 없다고ㅠㅜ!!!!!!
