A_used,B_used,C_used,total_used
0,1,1,2
2,0,0,2
2,0,0,2
2,1,0,3
2,0,0,2
2,1,0,3
2,0,0,2
2,0,1,3
2,1,0,3
2,0,0,2
2,1,0,3
2,0,0,2
2,0,0,2
2,1,0,3
2,0,1,3
2,1,0,3
2,0,0,2
2,0,0,2
2,1,0,3
2,0,0,2
2,1,0,3
2,0,1,3
2,0,0,2
2,1,0,3
2,0,0,2
2,1,0,3
2,0,0,2
2,0,0,2
2,1,1,4
2,0,0,2
2,1,0,3
2,0,0,2
2,0,0,2
2,1,0,3
2,0,0,2
2,1,1,4
2,0,0,2
2,0,0,2
2,1,0,3
2,0,0,2
2,1,0,3
2,0,0,2
2,0,1,3
2,1,0,3
2,0,0,2
2,1,0,3
2,0,0,2
2,0,0,2
2,1,0,3
2,0,1,3
2,1,0,3
2,0,0,2
2,0,0,2
2,1,0,3
2,0,0,2
2,1,0,3
2,0,1,3
2,0,0,2
2,1,0,3
2,0,0,2
2,0,0,2
