A_used,B_used,C_used,D_used,total_used
2,1,1,0,4
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,1,1,0,4
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,1,0,3
2,1,0,0,3
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,1,0,3
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,1,0,0,3
2,0,1,0,3
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
2,1,1,0,4
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,1,1,0,4
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,1,0,3
2,1,0,0,3
2,0,0,0,2
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
2,1,0,0,3
2,0,1,0,3
2,1,0,0,3
2,0,0,0,2
2,0,0,0,2
